ALA    64.7809   0.115
ARG   210.0200  -0.501
ASN   113.1870  -0.265
ASP   110.2090  -0.473
CYS    95.2439   0.179
GLN   147.8550  -0.250
GLU   143.9240  -0.458
GLY    23.1338   0.000
HIS   148.0000  -0.336
ILE   151.2420   0.442
LEU   139.5240   0.442
LYS   177.3660  -0.218
MET   164.6740   0.237
PHE   186.7000   0.499
PRO   111.5330   0.210
SER    81.2159  -0.142
THR   111.5970  -0.051
TRP   229.6190   0.377
TYR   200.3060   0.379
VAL   124.2370   0.324
